ASTEC,20230519,1498.95,1498.95,1466.85,1486.1,11991,
ASTERDM,20230519,258.5,259.6,253.3,254.6,135164,
ASTRAL,20230519,1690.0,1698.8,1645.15,1652.15,546011,
ASTRAMICRO,20230519,333.05,341.0,324.1,334.0,683798,
ASTRAZEN,20230519,3228.5,3228.5,3198.0,3201.4,3578,
ASTRON,20230519,26.7,26.75,26.0,26.05,14161,
ATALREAL,20230519,110.15,114.1,110.15,112.85,6905,
ATAM,20230519,247.0,247.0,236.1,238.4,33996,
ATFL,20230519,770.05,780.0,765.1,768.6,1127,
ATGL,20230519,633.35,699.95,633.35,688.1,11382817,
ATLANTA,20230519,15.15,15.25,14.6,14.8,10492,
ATUL,20230519,6681.0,6690.0,6601.0,6615.15,12431,
ATULAUTO,20230519,370.4,381.0,364.5,378.05,424397,
AUBANK,20230519,747.6,756.0,734.0,753.8,2181998,
AURIONPRO,20230519,595.35,653.05,595.3,653.05,188597,
AUROPHARMA,20230519,598.0,606.55,581.25,590.05,1923624,
AURUM,20230519,113.8,114.6,112.0,112.35,13411,
AUSOMENT,20230519,61.4,61.4,60.2,60.65,715,
AUTOAXLES,20230519,2342.0,2362.45,2207.0,2220.3,50658,
AUTOBEES,20230519,139.98,144.89,137.54,140.88,69152,
AUTOIND,20230519,65.25,67.6,64.0,65.75,276541,
AVADHSUGAR,20230519,494.5,494.5,477.75,490.1,82067,
AVALON,20230519,405.0,414.9,400.2,411.7,201341,
AVANTIFEED,20230519,366.5,376.0,365.0,366.6,77705,
AVG,20230519,218.7,224.05,215.0,216.55,33818,
AVONMORE,20230519,65.75,66.2,64.05,64.6,7536,
AVROIND,20230519,152.9,152.9,141.35,144.1,23708,
AVTNPL,20230519,92.3,93.9,90.25,91.85,56210,
AWHCL,20230519,288.65,288.65,280.0,281.3,35582,
AWL,20230519,378.75,412.2,366.0,403.95,6990238,
AXISBANK,20230519,920.9,927.0,908.95,924.05,8393002,
AXISBNKETF,20230519,442.15,445.07,440.31,444.54,1667,
AXISBPSETF,20230519,11.3,11.3,10.96,11.0,18366,
AXISCADES,20230519,351.4,367.1,345.0,367.1,197904,
AXISCETF,20230519,77.6,78.14,76.89,77.61,2518,
AXISGOLD,20230519,51.66,51.69,51.5,51.61,33301,
AXISHCETF,20230519,79.49,80.34,78.9,79.44,1808,
AXISILVER,20230519,73.4,74.1,72.8,73.65,7046,
AXISNIFTY,20230519,199.45,199.45,192.5,194.07,4896,
AXISTECETF,20230519,290.0,293.85,287.35,291.04,3242,
AXITA,20230519,27.35,27.35,24.75,26.05,13799327,
AXSENSEX,20230519,61.69,61.69,61.14,61.48,4571,
AYMSYNTEX,20230519,74.5,76.7,74.15,75.05,7922,
BAGFILMS,20230519,4.3,4.3,4.05,4.15,324833,
BAIDFIN,20230519,40.5,40.85,36.7,36.95,272099,
BAJAJ-AUTO,20230519,4534.0,4550.15,4464.05,4483.2,398571,
BAJAJCON,20230519,179.2,182.0,176.5,180.95,613701,
BAJAJELEC,20230519,1190.0,1191.85,1170.5,1180.8,38225,
BAJAJFINSV,20230519,1422.1,1422.7,1397.05,1415.1,754504,
BAJAJHCARE,20230519,310.15,311.6,303.25,304.85,28531,
BAJAJHIND,20230519,13.45,13.65,13.15,13.6,4516937,
BAJAJHLDNG,20230519,6369.0,6369.0,6279.05,6298.5,20910,
BAJFINANCE,20230519,6800.0,6820.0,6712.0,6784.2,592834,
BALAJITELE,20230519,42.0,42.1,40.95,41.25,31141,
BALAMINES,20230519,2376.9,2380.05,2297.35,2306.5,77190,
BALAXI,20230519,605.0,649.85,605.0,612.05,62706,
BALKRISHNA,20230519,27.15,27.2,26.2,26.6,19788,
BALKRISIND,20230519,2190.05,2230.0,2142.2,2148.95,229849,
BALMLAWRIE,20230519,124.1,124.9,123.05,124.3,160902,
BALPHARMA,20230519,83.25,86.0,82.6,84.85,19346,
BALRAMCHIN,20230519,386.05,389.6,384.0,388.2,988387,
BANARBEADS,20230519,81.9,82.2,80.0,80.25,4440,
BANARISUG,20230519,2762.7,2762.7,2702.0,2724.8,329,
BANCOINDIA,20230519,289.5,289.6,270.1,273.7,449372,
BANDHANBNK,20230519,245.4,246.05,236.15,237.95,7503798,
BANG,20230519,39.35,40.5,39.3,39.45,4167,
BANKA,20230519,73.95,75.9,72.4,73.55,11788,
BANKBARODA,20230519,181.0,182.35,178.0,181.9,18643969,
BANKBEES,20230519,443.01,446.0,441.47,445.57,287544,
BANKINDIA,20230519,76.4,76.75,75.05,75.7,4778259,
BANSWRAS,20230519,169.3,174.7,160.25,163.6,312696,
BARBEQUE,20230519,622.3,650.2,618.8,628.25,314210,
BASF,20230519,2473.0,2498.95,2416.55,2445.3,11583,
BASML,20230519,44.85,44.85,43.65,44.1,68043,
BATAINDIA,20230519,1553.0,1596.4,1518.45,1534.15,1293277,
BAYERCROP,20230519,4137.55,4155.7,4120.0,4136.45,4918,
